first-name,last-name,full-name,title,organization,bio,slug,bio_short
Mathew,Magno,Mathew Magno,CEO & Co-Founder,"Japa, Inc.","Mathew Laurence Magno moved to Davis from Southern California. He ventured North to study computer science and technology management at the University of California, Davis and proceeded to work on multiple projects relating to parking and augmented reality. Passionate about entrepreneurship and the tech industry, the move to Northern California was a natural fit. He has an amazing background of management with titles from Project Manager to Kitchen Manager. With encouragement from friends and family, Mathew helped co-found Japa, a Smart Parking company delivering real-time availability and analytics to drivers and parking management. Currently Japa has installations at UC Berkeley, UC Santa Barbara, Walnut Creek and SMUD in Sacramento. Japa is now moving into the ever growing smart city initiatives. Mathew also Co-founded PLASMA, an accelerator program focused towards UC Davis entrepreneurs.",mathew-magno,"Mathew Laurence Magno moved to Davis from Southern California. He ventured North to study computer science and technology management at the University of California, Davis and proceeded to work on multiple projects relating to parking and augmented reality. Passionate about..."
Maya,Erwin,Maya Erwin,Vice President Innovation and R&D,Blue Diamond Almonds,"As VP of Innovation + R&D  for Blue Diamond Growers, Maya Erwin is responsible for leading and promoting the advancement of innovation across the organization, globally. Focused on building innovations that unleash the power of the exceptional almond, focused on technology, sustainability and superior product experiences.
Over her 14-year tenure at Blue Diamond, Maya led the Snacks and Culinary business driving unprecedent consecutive growth with Blue Diamond’s flagship Brands.
Maya has over twenty years of marketing and innovation experience on brands such as Farmers Insurance, Hershey's Chocolate, University of Phoenix and Mariani Dried Fruit.
As a native to the Sacramento area, Maya lives in Rocklin with her husband and two kids. She takes her job seriously, but not life. Has a strong passion for helping people eat healthy, one almond at a time.",maya-erwin,"As VP of Innovation + R&D  for Blue Diamond Growers, Maya Erwin is responsible for leading and promoting the advancement of innovation across the organization, globally. Focused on building innovations that unleash the power of the exceptional almond, focused on technology..."
Meg,Arnold,Meg Arnold,Interim Director,Valley Vision,"Meg joined Valley Vision as a consultant in 2014 before stepping into the role of managing director in 2016. She directs two of the organization’s key strategies—the Clean Economy and Innovation & Entrepreneurship initiatives—and is part of the organization’s executive leadership team.
Meg’s career in the Sacramento region began in 2001 and includes roles supporting startup companies emerging from research labs at UC Davis, strategic counsel to Drexel University when it opened a campus in Sacramento in 2008, and five years as CEO of SARTA, the Sacramento Regional Technology Alliance.
While at SARTA, Meg was instrumental in the organization’s expansion of support for regional technology companies, including founding the MedStart and AgStart programs. She helped drive significant growth in awareness of the importance of technology companies in the region’s economy, leading SARTA to be one of four founding organizations behind the creation of the Next Economy regional jobs growth plan. Prior to moving to Sacramento in 2001, Meg worked in multinational lending and in strategy and business development in the telecommunications industry in Toronto, New York, and London.
Meg is frequently invited to speak on topics of innovation, entrepreneurship, and their contributions to economic development, and her expertise and influence has been broadly recognized with numerous accolades and leadership positions.",meg-arnold,"Meg joined Valley Vision as a consultant in 2014 before stepping into the role of managing director in 2016. She directs two of the organization’s key strategies—the Clean Economy and Innovation & Entrepreneurship initiatives—and is part of the organization’s executive leadership..."
Oleg,Kaganovich,Oleg Kaganovich,VC Portfolio Adviser,,"Oleg Kaganovich works at the crossroads of innovation, operations, early stage investment, and design-centric business
growth across software, health/wellness, mobility and travel, building and
guiding management teams to focus, navigate, refine and win through an iterative, design-based approach.
His domain expertise as a strategic operating executive, technology investor, consultant, adviser, entrepreneur and public speaker on innovation and new ventures has provided a breadth of experience around bringing ideas to market, from napkin sketch to proof-of-concept through testing, MVP,
commercialization, growth and strategic partnership development.
Oleg gets excited when spending his time on exploring and building new ventures, business models, technologies and teams, driving partnership/relationship building, business process improvement, mentoring, and advising growth-driven companies and projects. His recent roles advising venture capital portfolio companies and legacy family-owned businesses, along with prior roles with KAUST Ventures, Frontier Ventures, DFJ Aurora Nanotechnology Fund, Wyndow, Pocket Points, and I/O Labs are a reflection of this enthusiasm.",oleg-kaganovich,"Oleg Kaganovich works at the crossroads of innovation, operations, early stage investment, and design-centric business
growth across software, health/wellness, mobility and travel, building and
guiding management teams to focus, navigate, refine and win through an iterative..."
Robert,Rodriguez,Robert Rodriguez,Chief Executive Officer,Cambria Solutions,"Robert Rodriguez is an entrepreneur and business executive who has founded two enterprises, recently acquired a third organization, and presently manages all three companies successfully.
Robert’s first venture, Cambria Solutions, Inc., is a Sacramento-based consulting firm that delivers innovative technology solutions for government agencies. Since the company’s founding in 2003, Robert has transformed Cambria from a local start-up serving key California state agencies into a thriving national business with more than 250 employees and subcontractors, across eight offices strategically located throughout the United States.
Robert’s second business, Cassadyne Properties, LLC., is a real estate investment company founded in 2011 that has purchased, renovated and managed 35 apartment units, as well as undertaken a massive renovation to a prominent 22,000 square foot commercial building in Sacramento’s downtown K Street corridor.
In 2018, Robert became the lead investment partner and Board Chair of his third business, a personnel recruiting company called Strategic IT Staffing, that has placed a total of 6,800 professionals across the United States.",robert-rodriguez,"Robert Rodriguez is an entrepreneur and business executive who has founded two enterprises, recently acquired a third organization, and presently manages all three companies successfully.
Robert’s first venture, Cambria Solutions, Inc., is a Sacramento-based consulting firm that..."
Ryan,Montoya,Ryan Montoya,"Chief Technology Officer – Strategy, Innovation & Technology",Sacramento Kings,"Ryan Montoya is the Chief Technology Officer for the Sacramento Kings. His responsibilities include providing direction and managing the Sacramento Kings new technology and innovation strategies to enhance the fan experience and improve the team’s performance. Under his leadership, the Kings became the first NBA team on Twitter, to use Bitcoin, experiment with Google Glass and utilize drones. He also led the team’s strategic investment in VOKE VR.
Additionally, he oversees all technology for Sacramento’s downtown entertainment and sports complex, Golden 1 Center. Throughout his career, Montoya has advised, invested and served at all levels of early stage technology companies.
Montoya began his career as an aide to President Clinton, Vice President Gore and two Cabinet Secretaries. A native of Colorado, Montoya received his bachelor’s degree from the University of Notre Dame, a master’s in International Studies/Security from the Josef Korbel School of International Studies at the University of Denver and an MBA from California State University, Sacramento.",ryan-montoya,"Ryan Montoya is the Chief Technology Officer for the Sacramento Kings. His responsibilities include providing direction and managing the Sacramento Kings new technology and innovation strategies to enhance the fan experience and improve the team’s performance. Under his..."
Sarah,Klose,Sarah Klose,Founder & CEO,Venture HR,"Founder & CEO of Venture HR, Sarah is an energetic leader with strategic human resources experience in high growth, mid-sized tech organizations. Sarah brings many years of experience focused on organizational development, removing barriers to growth, ensuring legal compliance and optimizing leadership output. After a successful exit from a Sacramento-based company, Sarah’s focus is bringing hands-on experience to companies evolving from startup to acquisition. She is passionate about helping emerging companies experience the ride to the top by implementing compliance-based HR along with strategic human capital management to fuel growth. <p>B.A. Psychology -  California State University, Sacramento</p><p>SPHR, SHRM-SCP</p><p>Member of SHRM, SAHRA, NCHRA, Founders Institute</p>",sarah-klose,"Founder & CEO of Venture HR, Sarah is an energetic leader with strategic human resources experience in high growth, mid-sized tech organizations. Sarah brings many years of experience focused on organizational development, removing barriers to growth, ensuring legal compliance..."
Savita,Farooqui,Savita Farooqui,Founder,SymSoft Solutions,"Savita Farooqui is Founder of SymSoft Solutions, a Sacramento-based Digital Experience company that strives to connect organizations with their customers. She is passionate about User Experience and Open Data, with its potential to provide true citizen engagement and transparency.  Savita was been recognized as 'Champion of Change' in technology and innovation by the Obama White house. She also received the 'Sacramento Women Who Mean Business' award by the Sacramento Business Journal. Savita serves on the Department of General Services Small Business Council, Sacramento ACM Chapter and serves on the Region Technology Board. She holds MS in Computer Science.",savita-farooqui,"Savita Farooqui is Founder of SymSoft Solutions, a Sacramento-based Digital Experience company that strives to connect organizations with their customers. She is passionate about User Experience and Open Data, with its potential to provide true citizen engagement and transparency..."
Shahriar,Nejad,Shahriar Nejad,Project Manager,"CFY Development, Inc.","Shahriar Nejad is a Project Manager for CFY Development, a vertically integrated, Sacramento based Developer, General Contractor, and Property Manager. He oversees all phases of development for new and existing properties throughout CFY’s portfolio. Some of CFY’s most recent projects include the Warehouse Artist Lofts, located in the Historic R Street Corridor, and The Hardin apartments, located next to the Golden 1 Center. CFY is known for building mixed-use, mixed-income, multifamily developments throughout California and manages over 3,400 units across 43 properties.
Prior to joining CFY, Shahriar was the Territory Developer for Pizza Guys, another Sacramento based company with 67 locations throughout California, Nevada and Oregon. Among all of these locations, Shahriar played an integral role in all phases of development for the new and existing stores.
As a native of Sacramento, he is committed to being an active member of the community by regularly participating on different boards and committees. To name a few, he is a Board Director for the R Street Sacramento Partnership, a private, non-profit organization established in 2012 to improve the R and S Street Corridors. He was selected to be a part of the City of Sacramento Citizens Planning Academy in 2016, and has served on the Mayor’s Tech Council since 2017. He is also an active member of the Sacramento Metro Chamber and has served on the Study Mission planning committee, membership committee, and Metro Edge.
Shahriar earned his B.S. degree in Business Real Estate from San Diego State University. ",shahriar-nejad,"Shahriar Nejad is a Project Manager for CFY Development, a vertically integrated, Sacramento based Developer, General Contractor, and Property Manager. He oversees all phases of development for new and existing properties throughout CFY’s portfolio. Some of CFY’s most recent..."
Tina,Reynolds,Tina Reynolds,President,Uptown Studios,"As the leader of the best creative team in Sacramento I work hard to create a community of giving, learning and growing - from the inside out. Our team is committed to building a world around us that is conscious and filled with positive intentions. I want to work together with people and tear down silos. I am totally attracted to brilliant people with a propensity to create change. I am here to transform the way you think about great marketing; how it should begin with your community, how to create empathy with the groups you work with; and how to become more involved.

My personal goals are to change the way we work with homeless issues; girls getting an education that includes Math, Science Arts and the ability to achieve whatever they can dream; the thought that technology can change everything - for the better and let's figure out how to use it for ""good""; and finally - getting equality for women in all areas - really ALL areas including finance, leadership, boards and commissions and everything else we seem to continue to lag behind in.

The WORK:
Uptown Studios is a Sacramento marketing and design studio specializing in graphic design, website design, video production, social media management, human-centered design (design thinking) and marketing. We have a team of 18 design thinkers ready to create design solutions for your communication challenge. Let us help you with your next project.

I am here to help you discuss ways to market your firm, look at the ""big picture"" and come up with creative ways to engage with your community and help you get involved and become an active participant. We encourage all our clients to be more green in their print decisions and can help you create a campaign or brochure that is sustainable and effective.

Uptown Studios excels in working with businesses, non-profits, municipalities and progressive political campaigns. We are a CMAS certified vendor, woman-owned, certified LGBT and micro/small business.",tina-reynolds,"As the leader of the best creative team in Sacramento I work hard to create a community of giving, learning and growing - from the inside out. Our team is committed to building a world around us that is conscious and filled with positive intentions. I want to work together with..."
Vaibhav,Nadgauda,Vaibhav Nadgauda,Managing Partner,Moneta Ventures,"Vaibhav Nadgauda is a partner at Moneta Ventures. Prior to joining Moneta, Vaibhav was President of the SAP Business Unit at KPIT, managing a global portfolio of over $100 Million in revenue and a team of over 1,800 employees. He was co-founder and partner at Sparta Consulting, where he served as Executive Vice President and played a key role in growing the company to $100+ Million in five years. He was Vice President of Corporate Development and Global Delivery at Fujitsu Consulting, a Fortune Global 500 company, leading a team of over 1700 consultants globally. Vaibhav started his career 21 years ago at Siemens. He holds a Bachelor’s of Science degree in Electronics and a Master’s Degree in Computer Management, both from the University of Pune.",vaibhav-nadgauda,"Vaibhav Nadgauda is a partner at Moneta Ventures. Prior to joining Moneta, Vaibhav was President of the SAP Business Unit at KPIT, managing a global portfolio of over $100 Million in revenue and a team of over 1,800 employees. He was co-founder and partner at Sparta Consulting..."
Brian,King,Brian King,Chancellor,Los Rios Community College District,"Dr. Brian King was appointed as the ninth Chancellor of the Los Rios Community College District in 2012. Dr. King has more than 27 years of community college teaching and administrative experience in California and Missouri.
Dr. King joined Los Rios after serving more than eight years as president/superintendent of Santa Cruz County’s Cabrillo College in Aptos, California. Before that, he served from 1991 to 2004 in increasingly responsible positions at Ozarks Technical Community College in Springfield, Missouri, where he rose from a faculty position teaching American government and business law to serving as vice president of administration and business.
As president of Cabrillo, Dr. King was credited with leading the college through two successful local bond campaigns, raising more than $20 million in private donations through the college foundation and guiding the implementation of highly successful student success measures.
Since his appointment as chancellor of Los Rios, Dr. King has overseen the opening of two educational outreach centers (the Elk Grove and Rancho Cordova centers); the establishment of the Los Rios Promise program to knock down financial barriers for students; the creation and adoption of a new district Strategic Plan; and the start of a districtwide effort to implement Guided Pathways at the four Los Rios colleges.
Dr. King serves on numerous local and state boards and commissions including: the American Council on Education’s Commission on Inclusion; Valley Vision Board of Directors; Wells Fargo Community Advisory Committee; Comstock’s Magazine Editorial Board; Align Capital Region Board of Directors and Executive Committee; Linked Learning Alliance Leadership Council; Dignity Health Sacramento Service Area Board of Directors; Los Rios Foundation Board; and member of the Sacramento Rotary.
He also currently serves as a CEO Representative on the state Chancellor’s Office Institutional Effectiveness Partnership Initiative Advisory Committee. He is a past-chair of the Community College League of California CEO Board and the California Community College Athletic Association Board of Directors, and was previously a Fulbright Fellow to Russia with a group of national community college leaders.
Dr. King earned a bachelor of arts in history from the University of Missouri, a law degree from Duke University School of Law, and a doctorate of education in higher education from the University of Arkansas. Dr. King lives in Folsom with his wife and two teenage children and is a dedicated Duke Blue Devils basketball fan.",brian-king,"Dr. Brian King was appointed as the ninth Chancellor of the Los Rios Community College District in 2012. Dr. King has more than 27 years of community college teaching and administrative experience in California and Missouri.
Dr. King joined Los Rios after serving more than eight..."
Chris,Callahan,Chris Callahan,President Designate,University of the Pacific,"Chris is the outgoing dean of the Walter Cronkite School of Journalism and Mass Communication at Arizona State University. He will take office as President of the University of the Pacific on July 1, 2020.
He has an impressive track record developing programs that are relevant to students and great ideas for unifying the distinctive three-campus university in new ways.
In addition to being the founding and current dean of the Cronkite School, Chris is vice provost of ASU’s downtown Phoenix campus and CEO of Arizona PBS. He is an exceptional communicator, a proven innovator and a highly regarded leader.
As a first-generation college graduate, Chris has experienced the transformational power of education and is committed to continuing to find pathways for all students. His balance of academic and entrepreneurial experience will help lead Pacific toward a bright and bold future.",chris-callahan,"Chris is the outgoing dean of the Walter Cronkite School of Journalism and Mass Communication at Arizona State University. He will take office as President of the University of the Pacific on July 1, 2020.
He has an impressive track record developing programs that are relevant..."
Gary,May,Gary May,Chancellor,"University of California, Davis","As chancellor of one of the world’s great public research universities, Gary S. May leads UC Davis as it advances its mission in several key areas, including:
?	Achieving equal access to education and opportunity for students of all backgrounds
?	Building diversity and nurturing success among students, faculty and staff
?	Deepening the university’s engagement with Sacramento, Davis and the surrounding region
?	Conducting useful research and outstanding scholarship in areas of critical need to California, the nation and the world
May became UC Davis’ seventh chancellor on Aug. 1, 2017 by appointment of the UC Board of Regents. He leads the most comprehensive campus in the University of California system, with four colleges and six professional schools that offer 104 undergraduate majors and 96 graduate and professional degrees. UC Davis enrolls about 37,000 students, brings in nearly $800 million annually in sponsored research and contributes at least $8 billion to the California economy each year.
An accomplished scholar and engineer, May came to UC Davis from the Georgia Institute of Technology in Atlanta, where he had been for nearly three decades, most recently as dean of the institute’s College of Engineering — the largest and most diverse school of its kind in the nation, with 450 faculty and 13,000 students.
Prior to being dean, May was the Steve W. Chaddick Chair of Georgia Tech’s School of Electrical & Computer Engineering, and previously, he was the executive assistant to Georgia Tech President G. Wayne Clough.
May is known as a dynamic leader with a passion for helping others succeed. He believes success is best judged by “the extent you enhance the lives of others.” Throughout his career, he has championed diversity in both higher education and the workplace. He developed and led programs to attract, mentor and retain underrepresented women and ethnic minorities in STEM — the fields of science, technology, engineering and math. In 2015, President Obama honored him with the Presidential Award for Excellence in STEM Mentoring.
May has won numerous research awards for his work in computer-aided manufacturing of integrated circuits and other devices. He has authored more than 200 technical publications, contributed to 15 books and holds a patent in this topic.
In 2010, he was named “outstanding engineering alumnus” of UC Berkeley, where he earned his master’s and Ph.D. degrees in electrical engineering and computer science.
A native of St. Louis, May is married to LeShelle R. May, a software engineer, and they have two daughters, Simone and Jordan, who are in college.",gary-may,"As chancellor of one of the world’s great public research universities, Gary S. May leads UC Davis as it advances its mission in several key areas, including:
?	Achieving equal access to education and opportunity for students of all backgrounds
?	Building diversity and..."
